,car,cik,date
0,0.033038347812879364,5103,1995-02-15
1,0.055072182889584556,93556,1995-01-31
2,-0.04817234441034107,51434,1995-03-06
3,0.04108210954666226,65984,1995-01-09
4,0.06011636862971831,716714,1995-02-28
5,-0.022715773607494993,742126,1995-03-15
6,0.25257952405200307,725625,1995-01-20
7,0.03330257553332747,720005,1995-03-29
8,-0.04207118470143639,355622,1995-02-08
9,0.04727404601957812,70145,1995-03-22
10,-0.0007525932371087937,718082,1995-02-16
11,-0.060432372007290285,50341,1995-02-21
12,0.025191199452826392,701221,1995-01-05
13,0.040214309474207274,5907,1995-03-17
14,0.10118563460369975,798139,1995-02-06
15,-0.005272009672360518,45370,1995-03-08
16,0.040147496223007395,36995,1995-01-13
17,0.09023641306450421,109177,1995-03-16
18,0.06747408809232248,59255,1995-03-13
19,-0.03415276392541357,745113,1995-03-28
20,0.0002787628375445633,858710,1995-02-06
21,0.3708115192878516,51497,1995-02-01
22,0.03569086994590452,72971,1995-02-21
23,-0.026286139360135116,6284,1995-03-13
24,0.05919202759340152,106015,1995-02-24
25,0.009164560357354965,20520,1995-02-08
26,-0.07282021066120363,793421,1995-02-24
27,-0.07922286732010844,92380,1995-03-06
28,-0.01221975548449383,22989,1995-03-02
29,0.007877017923339216,32689,1995-03-27
30,0.024445291216551854,708819,1995-02-15
31,0.03049941284079137,53117,1995-01-26
32,0.02709927007231619,278130,1995-01-05
33,0.021513744915206443,225998,1995-02-02
34,0.004189748558607208,44801,1995-02-24
35,-0.14553641893974928,716006,1995-03-14
36,-0.005837344134420718,5272,1995-03-02
37,-0.03481647325334081,51467,1995-01-23
38,0.010288177840118724,51396,1995-03-01
39,0.012608246250368957,823393,1995-01-18
40,-0.007259534916583189,713676,1995-03-14
41,-0.05814378714526892,722079,1995-03-29
42,-0.02479973745631684,70858,1995-03-02
43,-0.0417875955886023,29915,1995-01-20
44,0.002776804270501889,351616,1995-03-27
45,0.02864958013326928,99231,1995-02-14
46,0.010653931053716849,868635,1995-01-09
47,-0.008171967165916722,12180,1995-03-28
48,0.054677364768716076,108772,1995-03-08
49,0.07921354718643138,800575,1995-03-17
50,0.2055487309508706,39547,1995-02-06
51,0.00567852325042642,66756,1995-02-27
52,0.07607405451671814,16732,1995-02-09
53,0.0684358361476823,2488,1995-03-17
54,0.04573009805761433,67686,1995-03-28
55,0.004294011194275747,42246,1995-01-24
56,0.16788949656743263,815553,1995-03-16
57,-0.01606053372388473,769397,1995-01-06
58,-0.38047781642232115,94673,1995-01-26
59,0.049166462595796316,39020,1995-02-22
60,0.0448524264994105,100893,1995-01-13
61,0.19355584581455873,99359,1995-01-05
62,0.08259211128048413,9659,1995-02-17
63,0.02557869694380668,36161,1995-01-17
64,0.01540708414612346,106640,1995-02-27
65,-0.16415079453600684,714154,1995-01-26
66,0.021250985085442486,2969,1995-01-20
67,0.03841379572061754,45012,1995-01-09
68,-0.22149168366220243,98246,1995-01-05
69,0.04577742617954523,317745,1995-03-13
70,0.06842442946097572,76696,1995-03-03
71,-0.019288510683886206,90498,1995-01-20
72,-0.019343781967033596,24741,1995-06-27
73,-0.023435359039328217,14995,1995-05-19
74,0.01310470444829143,814853,1995-06-09
75,0.9283683878066551,732700,1995-05-18
76,-0.04639972251997064,840491,1995-04-12
77,0.11607708321327041,61398,1995-05-17
78,0.0551038531584781,835015,1995-04-24
79,0.10591934001525781,799290,1995-04-03
80,0.00355236204327156,84567,1995-06-06
81,-0.034518930708412734,81371,1995-06-30
82,0.030027777533246338,63528,1995-04-13
83,0.011289997597467731,350206,1995-05-04
84,0.39341936924447346,720676,1995-05-25
85,-0.03986892538286575,64782,1995-04-19
86,-0.004539159753210759,98537,1995-06-20
87,0.06865022547724361,200754,1995-05-16
88,0.0031139735417756095,89089,1995-05-23
89,0.02470000180131418,831861,1995-05-22
90,-0.020416516208436486,26987,1995-05-11
91,0.12005761559792892,853665,1995-05-17
92,0.116369012061566,28323,1995-06-29
93,-0.12596595622997517,722104,1995-06-13
94,0.3166192314129781,812444,1995-06-26
95,-0.0012194665869820934,81870,1995-04-21
96,0.15185124255590493,731859,1995-06-15
97,0.03795300487710754,752692,1995-04-28
98,0.0915545941688664,353020,1995-05-03
99,0.030142807856313694,64040,1995-05-02
100,0.052990482488555146,831001,1995-06-30
101,-0.031672796025139664,920148,1995-05-12
102,0.07606308365482674,858452,1995-05-02
103,-0.0005028770601842106,74697,1995-05-23
104,-0.00025006175822190127,57131,1995-05-10
105,0.058626998240965594,216430,1995-04-10
106,0.02471050001195561,774214,1995-05-18
107,0.028453885116141567,3753,1995-06-09
108,-0.0009800062159263621,700997,1995-05-24
109,0.10160249917669663,718077,1995-04-28
110,-0.009674387154402088,56868,1995-05-05
111,-0.04134997142835849,78239,1995-04-28
112,-0.011612868863200305,2601,1995-04-20
