,cav,cik,date
0,10.864909386850888,5103,1995-02-15
1,0.48992332598093613,93556,1995-01-31
2,4.352956131750328,51434,1995-03-06
3,-8.281103266057235,65984,1995-01-09
4,3.06553363695914,716714,1995-02-28
5,-0.02278299183902943,742126,1995-03-15
6,-2.5136442987365504,725625,1995-01-20
7,-7.573917361917516,720005,1995-03-29
8,-7.840010213932224,355622,1995-02-08
9,8.915891938472265,70145,1995-03-22
10,4.956362407270955,718082,1995-02-16
11,14.821298965680352,50341,1995-02-21
12,2.7145568891168352,701221,1995-01-05
13,-0.5875523225732104,5907,1995-03-17
14,3.872644165958013,798139,1995-02-06
15,0.10932504214384059,45370,1995-03-08
16,2.1208381970179295,36995,1995-01-13
17,-0.7067421781385418,109177,1995-03-16
18,-6.099796607437098,59255,1995-03-13
19,-8.650521486256896,745113,1995-03-28
20,1.5100058767788962,858710,1995-02-06
21,2.019401945849581,51497,1995-02-01
22,-6.341852066790291,72971,1995-02-21
23,9.109842263095807,6284,1995-03-13
24,1.5192507689867452,106015,1995-02-24
25,-0.6493317027571743,20520,1995-02-08
26,-8.464580305626257,793421,1995-02-24
27,-13.749946631040213,92380,1995-03-06
28,12.05429356121962,22989,1995-03-02
29,-5.913896981349364,32689,1995-03-27
30,3.9878035009881496,708819,1995-02-15
31,2.6984502981628964,53117,1995-01-26
32,12.138155075586848,278130,1995-01-05
33,-8.577420056067611,225998,1995-02-02
34,2.7948866385160707,44801,1995-02-24
35,6.40583992456477,716006,1995-03-14
36,-2.643837312497587,5272,1995-03-02
37,8.020811354976736,51467,1995-01-23
38,-2.948671704514525,51396,1995-03-01
39,7.268063276409242,823393,1995-01-18
40,-6.9172500609602405,713676,1995-03-14
41,0.40912833821396904,722079,1995-03-29
42,-0.76480298866301,70858,1995-03-02
43,-1.4177526296650798,29915,1995-01-20
44,7.370432690727855,351616,1995-03-27
45,-5.3865598788133955,99231,1995-02-14
46,-0.9912276575300593,868635,1995-01-09
47,-0.42925525887240945,12180,1995-03-28
48,0.3901683988460272,108772,1995-03-08
49,1.7128644140569693,800575,1995-03-17
50,5.333706656700894,39547,1995-02-06
51,-2.720693155540557,66756,1995-02-27
52,-4.494538345219155,16732,1995-02-09
53,-0.7881289378762306,2488,1995-03-17
54,-5.788397506332705,67686,1995-03-28
55,-6.86852732776919,42246,1995-01-24
56,-2.173158752411254,815553,1995-03-16
57,-3.297725337591002,769397,1995-01-06
58,24.054071868409608,94673,1995-01-26
59,-1.804071673050427,39020,1995-02-22
60,-1.2917882914049055,100893,1995-01-13
61,12.08728905013623,99359,1995-01-05
62,1.4076629938984575,9659,1995-02-17
63,-1.8107517850839336,36161,1995-01-17
64,-6.169169464958381,106640,1995-02-27
65,13.064210706952684,714154,1995-01-26
66,-3.1985247450039216,2969,1995-01-20
67,-7.413110109028348,45012,1995-01-09
68,12.168744932783461,98246,1995-01-05
69,-0.9246729611648972,317745,1995-03-13
70,5.102279644976475,76696,1995-03-03
71,0.24680525460843877,90498,1995-01-20
72,-4.073556716583128,24741,1995-06-27
73,-5.755738481056397,14995,1995-05-19
74,-1.3661113768668982,814853,1995-06-09
75,0.6117949945497398,732700,1995-05-18
76,-2.387929731680155,840491,1995-04-12
77,14.732568822578369,61398,1995-05-17
78,5.385514499158039,835015,1995-04-24
79,10.236073071046913,799290,1995-04-03
80,0.7495718080602878,84567,1995-06-06
81,-11.157170654904723,81371,1995-06-30
82,-1.23477443029279,63528,1995-04-13
83,3.140710876703739,350206,1995-05-04
84,4.966109530239932,720676,1995-05-25
85,4.130126921519241,64782,1995-04-19
86,-7.8927109820489445,98537,1995-06-20
87,10.01105187092923,200754,1995-05-16
88,2.2279189487888877,89089,1995-05-23
89,-7.991597396308481,831861,1995-05-22
90,0.8735288224036797,26987,1995-05-11
91,7.433433158189722,853665,1995-05-17
92,0.855076829111441,28323,1995-06-29
93,4.8070519255169915,722104,1995-06-13
